Company_Code,Company_Name,Master_ESG_Score,Risk_Level,Score_Explanation,Strengths,Strengths_Count,Weaknesses,Weaknesses_Count,Recommendations,Recommendations_Count,Comparative_Insight,Analysis_Date
TATAELXSI,Tata Elxsi,6.1429875,Medium,"Tata Elxsi has an overall ESG score of 6.14/10, indicating Medium ESG risk. The company performs strongest in Social (10.0/10) and weakest in Governance (4.3/10). Cross-validation consistency is 8.0/10. Detected 1 contradiction(s), highest severity Medium. Data quality confidence is 2.8/10. External benchmark proxy score is 4.3/10. Project vs benchmark rank deviation is 5, suggesting further review. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Low transparency in ESG disclosure | Cross-validation contradictions detected (severity: Medium) | Low data quality confidence for scoring inputs,4,Implement air quality improvement measures at affected locations | Enhance ESG disclosure completeness and third-party verification | Resolve contradiction flags by reconciling BRSR claims with external performance data | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences,5,Ranks #8 out of 20 IT companies analyzed (65th percentile). Performs in line with industry average. Most similar ESG profile to Oracle Financial Services Software (score: 6.11). Project rank is 8 vs benchmark rank 13.,2026-09-03
OFSS,Oracle Financial Services Software,6.114708333333334,Medium,"Oracle Financial Services Software has an overall ESG score of 6.11/10, indicating Medium ESG risk. The company performs strongest in Social (8.0/10) and weakest in Environmental (4.0/10). Cross-validation consistency is 10.0/10. Data quality confidence is 4.4/10. External benchmark proxy score is 4.8/10. Project ranking is closely aligned with benchmark ranking. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Inadequate board independence (30%) | Low data quality confidence for scoring inputs,3,Implement air quality improvement measures at affected locations | Appoint more independent directors to strengthen board governance | Improve data completeness and resolve review-flagged metrics before final decisions | Focus on continuous improvement in identified weak areas,4,Ranks #9 out of 20 IT companies analyzed (60th percentile). Performs in line with industry average. Most similar ESG profile to Tata Elxsi (score: 6.14). Project rank is 9 vs benchmark rank 9.,2026-09-03
KPITTECH,KPIT Technologies,,High,"KPIT Technologies has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 1.9/10. External benchmark proxy score is 4.0/10. Project vs benchmark rank deviation is 3, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,3,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #15 out of 20 IT companies analyzed (30th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 15 vs benchmark rank 18.,2026-09-03
CYIENT,Cyient,,High,"Cyient has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 0.0/10. External benchmark proxy score is 3.3/10. Project vs benchmark rank deviation is 4, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,3,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #16 out of 20 IT companies analyzed (25th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 16 vs benchmark rank 20.,2026-09-03
BSOFT,Birlasoft,,High,"Birlasoft has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 5.3/10. External benchmark proxy score is 5.0/10. Project vs benchmark rank deviation is 11, suggesting further review. ",Positive media coverage and reputation,1,Low renewable energy usage (40%),1,Increase investment in renewable energy sources and set ambitious targets | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,3,Ranks #17 out of 20 IT companies analyzed (20th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 17 vs benchmark rank 6.,2026-09-03
ZENSARTECH,Zensar Technologies,,High,"Zensar Technologies has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 4.9/10. External benchmark proxy score is 4.8/10. Project vs benchmark rank deviation is 8, suggesting further review. ",High renewable energy usage (90%) | Strong gender diversity (35% female employees) | Excellent employee training (30 hours per employee) | Positive media coverage and reputation,4,Low data quality confidence for scoring inputs,1,Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,3,Ranks #18 out of 20 IT companies analyzed (15th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 18 vs benchmark rank 10.,2026-09-03
TATATECH,Tata Technologies,,High,"Tata Technologies has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.1/10. External benchmark proxy score is 4.1/10. Project vs benchmark rank deviation is 4, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,2,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #19 out of 20 IT companies analyzed (10th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 19 vs benchmark rank 15.,2026-09-03
HAPPSTMNDS,Happiest Minds Technologies,6.316322500000001,Medium,"Happiest Minds Technologies has an overall ESG score of 6.32/10, indicating Medium ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (3.1/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.7/10. External benchmark proxy score is 4.5/10. Project vs benchmark rank deviation is 4, suggesting further review. ",Positive media coverage and reputation,1,Low renewable energy usage (12%) | Poor air quality at some office locations | Low data quality confidence for scoring inputs,3,Increase investment in renewable energy sources and set ambitious targets | Implement air quality improvement measures at affected locations | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Focus on continuous improvement in identified weak areas,5,Ranks #7 out of 20 IT companies analyzed (70th percentile). Performs in line with industry average. Most similar ESG profile to HCL Technologies (score: 6.35). Project rank is 7 vs benchmark rank 11.,2026-09-03
SONATSOFTW,Sonata Software,7.481750000000001,Low-Medium,"Sonata Software has an overall ESG score of 7.48/10, indicating Low-Medium ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (4.0/10). Cross-validation consistency is 10.0/10. Data quality confidence is 5.0/10. External benchmark proxy score is 5.0/10. Project vs benchmark rank deviation is 6, suggesting further review. ",Positive media coverage and reputation | Strong board independence (100%),2,Poor air quality at some office locations | Low data quality confidence for scoring inputs,2,Implement air quality improvement measures at affected locations | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Focus on continuous improvement in identified weak areas,4,Ranks #1 out of 20 IT companies analyzed (100th percentile). Performs 1.1 points above industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 1 vs benchmark rank 7.,2026-09-03
HEXAWARE,Hexaware Technologies,,High,"Hexaware Technologies has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 1.6/10. External benchmark proxy score is 4.0/10. Project vs benchmark rank deviation is 3, suggesting further review. ",High renewable energy usage (83%) | Positive media coverage and reputation,2,Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,2,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #20 out of 20 IT companies analyzed (5th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 20 vs benchmark rank 17.,2026-09-03
