Company_Code,Company_Name,Article_Title,Article_Date,ESG_Relevance_Score,Is_ESG_Relevant,Matched_ESG_Keywords,Matched_Non_ESG_Keywords,Rejection_Reason,Analysis_Date
TCS,Tata Consultancy Services,"Tata Consultancy Services shares decline marginally after change in last 1 hour Shares of Tata Consultancy Services were trading at Rs 3,055.10, a decline of 0.63% in Tuesday's session. According to d",2025-08-05,-1,False,,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex falls 700 pts, Nifty below 25,150: Selling in IT stocks among key factors behind market decline The benchmark stock indices Sensex and Nifty settled lower on Friday for the third session in a r",2025-07-11,-3,False,,"q1 results, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall 0.76% in early trade Shares of Tata Consultancy Services were trading lower in Monday's session. At 09:30 am, the stock was priced at Rs 3,241.10 on the NSE, a de",2025-07-14,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares trade marginally up; over 6.5 lakh shares traded Shares of Tata Consultancy Services were trading higher in Tuesday's session. At 10:20 am, the stock was priced at Rs ",2025-07-15,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services share price falls in early trade Shares of Tata Consultancy Services were trading lower in Monday's morning session, with the stock currently priced at Rs 3,242, a decline of",2025-07-14,-1,False,,share price,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall 0.58% in early trade Shares of Tata Consultancy Services were trading lower in Wednesday's session, with the stock priced at Rs 3,046.20, a 0.58% decrease from th",2025-08-06,-1,False,,stock price,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Markets at 5-week high: Sensex soars 900 pts, Nifty above 23,200 on Fed boost; all sectors in green Benchmark equity indices surged over 1 percent on Thursday, with the Nifty reclaiming the crucial 23",2025-03-20,-4,False,,"intraday, resistance, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Sons plans $400-mn fund infusion into struggling e-commerce biz Tata Digital Tata Sons, the holding company at the helm of the $100-billion Tata group, is preparing to inject a crucial dose of ca",2025-07-17,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex falls 400 pts from day's high, Nifty below 24,850: 3 reasons behind market decline The equity benchmark indices erased early gains and turned lower by noon on Wednesday as geopolitical tensions",2025-06-18,-2,False,,"nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Trade Spotlight: How should you trade TCS, Cipla, Torrent Pharma, NCC, Paytm, SBI Life Insurance, UPL, Syrma SGS Technology and others on July 29? Equity benchmarks started off the monthly F&amp;amp;O",2025-07-29,-3,False,,"candlestick, support level, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"IT, metal, realty stocks tumble up to 4% as Trump's tariffs, FOMC meet outcome weigh The shares of IT, metal and realty companies tumbled in morning trade on July 31 as Trump’s tariffs and penalty on ",2025-07-31,0,False,"environment, penalty","nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex, Nifty hit eight-month low on US growth concerns; banking, IT stocks take a hit India's benchmark indexes slumped to their lowest levels in eight months, down 0.9 percent by noon on February 24",2025-02-24,-3,False,green energy,"target price, intraday, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares gain 0.44% in morning trade Shares of Tata Consultancy Services were trading higher in Tuesday's session. The stock is currently trading at Rs 3,236.80 on the NSE, a 0",2025-07-15,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Persistent, TechM, other IT stocks drop up to 4% amid escalating US-China trade tensions The shares of IT companies tumbled on June 2 amid escalating trade tensions between US and China. The sharp fal",2025-06-02,-2,False,,"share price, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services share price declines nearly 1% in previous session Shares of Tata Consultancy Services (TCS) closed at Rs 3,148 in the previous session, a decline of 0.98% and the stock is i",2025-07-25,-2,False,,"share price, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex plunges 800 pts, Nifty below 24k as Pahalgam attack fuels geopolitical jitters; small, midcap indices fall 3% The Indian stock market is under pressure on April 25, continuing with losses after",2025-04-25,-3,False,,"intraday, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex jumps 500 pts, Nifty above 24,500: Sharp fall in crude, other key factors behind market rally The equity benchmark indices Sensex and Nifty surged in early trade on Monday amid sustained foreig",2025-05-05,-4,False,,"intraday, candlestick, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Auto, IT stocks in red amid tariff uncertainty; Maruti Suzuki, Tech Mahindra shares down up to 2% The shares of auto and IT companies dropped on July 7 as uncertainties around higher US tariffs and no",2025-07-07,-2,False,,"share price, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tech Mahindra loses 622 employees in Q1, third consecutive quarter of decline IT services major Tech Mahindra's headcount decreased by 622 sequentially in the first quarter ended June 30, 2025. This i",2025-07-16,-1,False,,q1 results,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Nifty IT rallies one percent, snapping a two-day fall on strong Nvidia Q1, ruling against Trump tariffs The shares of IT companies surged on May 29 after US chipmaker Nvidia posted strong Q1 results a",2025-05-29,-2,False,,"q1 results, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services share price falls 1.03% in today's session Shares of Tata Consultancy Services (TCS) were trading lower in Monday's session, with the stock priced at Rs 3,156.90, a 1.03 perc",2025-07-21,-1,False,labor,"share price, stock price",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex falls 300 pts, Nifty below 24,750 on renewed tariff concerns; Auto, Metal, IT drag The equity benchmarks Sensex and Nifty extended losses by noon after a flat start on Friday amid weak global c",2025-05-30,-2,False,,"nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"CLSA says Q3 earnings stronger-than-expected, despite consensus doubts The earnings show for the three months ended December 2024 was better than expected, noted Hong Kong-based brokerage CLSA, sharin",2025-02-24,-1,False,labor,"brokerage, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"IT shares snap three-day gaining streak ahead of US Fed meet; Coforge, TCS, others fall up to 1.5% The shares of several IT companies dropped on June 18, pushing the Nifty IT index down over half a pe",2025-06-18,-2,False,,"nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex sheds 500 pts, Nifty below 25,000: Weak Axis Bank Q1 earnings among key factors behind market decline The benchmark equity indices declined sharply on Friday, dragged by weak earnings from Axis",2025-07-18,-4,False,,"intraday, resistance, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall in early trade Shares of Tata Consultancy Services were trading at Rs 3,239.10 on the NSE, down 0.41% in Wednesday's session. The stock price experienced a decrea",2025-07-16,0,False,labor,stock price,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services share price trades marginally higher in today's session Shares of Tata Consultancy Services were trading marginally higher at Rs 3,055.40 on Thursday in the afternoon session",2025-07-31,0,False,labor,share price,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"TCS hires US-based firm to recruit contractual workers, says report IT major Tata Consultancy Services (TCS) has hired a US-based firm to deal with its staffing vendors for contract workers, Mint repo",2025-08-05,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"TCS job cuts worry brokerages as execution, attrition concerns emerge, stock slips Information technology giant Tata Consultancy Services Ltd (TCS) shares slipped in trade on Monday, July 28, after Mo",2025-07-28,-2,False,,"target price, brokerage",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall 1.11% in today's session; over 3.8 lakh shares traded Shares of Tata Consultancy Services were trading lower in Wednesday's session, with the stock priced at Rs 3",2025-08-06,-1,False,,stock price,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares decline marginally in today's session; over 25 lakh shares traded Shares of Tata Consultancy Services were trading at Rs 3,193.10 on the Nifty 50, down 0.50% from the ",2025-07-18,-1,False,,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall 1.07% in today's session; over 30.7 lakh shares traded Shares of Tata Consultancy Services declined by 1.07% to Rs 3,046.30 in Tuesday's session, with over 30.7 l",2025-07-29,-1,False,,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"LTI Mindtree, TechM surge 2% as IT index rallies on a rangebound day: What's pushing IT higher Shares of IT companies sharply ended higher on April 29, sharply off lows on hopes of easing trade tensio",2025-04-29,-4,False,environment,"share price, stock price, brokerage, q4 results, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services share price rises marginally in today's session Shares of Tata Consultancy Services were trading with a positive bias in Monday's session. At 10:30 am, the stock was priced a",2025-08-04,0,False,labor,share price,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex falls nearly 350 points, Nifty below 25,400: IT losses among key factors behind market decline The benchmark stock indices Sensex and Nifty traded lower on Thursday, as losses in IT stocks as c",2025-07-10,-3,False,,"q1 results, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"TCS, HCL Tech, M&M see heavy trading volumes amid market downturn The stocks of Tata Consultancy Services (TCS), HCL Tech, Mahindra &amp;amp; Mahindra (M&amp;amp;M), Larsen &amp;amp; Toubro (L&amp;amp",2025-02-24,-4,False,,"share price, trading volume, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Persistent Systems, Infosys, other IT shares drop up to 2% as trade, geopolitical tensions weigh The shares of major IT players dropped on June 12 after uncertain US tariff rules and geopolitical tens",2025-06-12,0,False,labor,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Trade Spotlight: How should you trade Biocon, Swiggy, Kotak Mahindra Bank, Apollo Hospitals, SJS Enterprises, TCS, Oberoi Realty, and others on June 17? Equity benchmarks shrugged off the Israel-Iran ",2025-06-17,-1,False,labor,"candlestick, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Infosys targetting everything to be AI-first, hiring to support guidance: CEO Salil Parekh amid TCS layoffs IT major Infosys will continue to hire in order to support the growth guidance, and will dev",2025-07-30,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares trade flat in Wednesday's session Tata Consultancy Services shares were trading at Rs 3,058.90 on Wednesday at 09:30 am, reflecting a marginal increase of 0.09% from t",2025-07-30,-1,False,,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services share price falls 3.37%; among top losers on Nifty 50 Shares of Tata Consultancy Services declined by 3.37% to Rs 3,268.10, making it one of the top losers on the Nifty 50 du",2025-07-11,-2,False,,"share price, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall 0.71% in morning trade; over 8.4 lakh shares traded Shares of Tata Consultancy Services were trading lower in Monday's session. At 10:20 am, the stock was priced ",2025-07-14,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall 0.98% in morning trade Shares of Tata Consultancy Services were trading lower at Rs 3,049 on the NSE, a decline of 0.98% from the previous close, during morning t",2025-07-29,-2,False,,"stock price, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Coforge, Mphasis, other IT shares rise up to 4% on optimism over US-China trade talks The shares of IT companies are higher on June 10, pushing the Nifty IT index up over 1.5 percent to emerge as the ",2025-06-10,-4,False,,"share price, target price, brokerage, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,Tata Consultancy Services share extends fall in Monday's trading session Shares of Tata Consultancy Services were trading down by over 1.5 percent in Monday’s trading session. The stock touched a high,2025-07-14,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall 1.55% in early trade Shares of Tata Consultancy Services declined by 1.55% to Rs 3,087.20 in early trade on Monday. The stock's decline reflects a bearish sentime",2025-07-28,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares gain about 1% in yesterday's trading Shares of Tata Consultancy Services (TCS) saw a positive movement in Tuesday's session, with the stock price increasing by 0.92% t",2025-07-16,-2,False,,"stock price, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall 0.56% in today's session; over 10.6 lakh shares traded Shares of Tata Consultancy Services were trading lower in Thursday's session, with the stock priced at Rs 3",2025-07-24,-2,False,,"stock price, trading volume",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares snap losing streak; stock among top gainers on Nifty 50 Tata Consultancy Services snaps its losing streak, emerging as one of the top gainers on Nifty 50 in Tuesday's ",2025-07-15,-1,False,,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex down nearly 700 pts, Nifty below 22,650; bank, IT stocks drag; mid-, small-cap indices fall over 1% Indian benchmark indexes Sensex and Nifty opened lower on February 24, tracking a global mark",2025-02-24,-2,False,green energy,"resistance, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares trade flat after change in last 1 hour Tata Consultancy Services shares were trading at Rs 3,158.50, a marginal increase of 0.01% in Tuesday's session. According to re",2025-07-22,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services stock among top gainers on Nifty 50 with modest rise Shares of Tata Consultancy Services saw marginal gains in Friday's session, with the stock trading at Rs 3,149. At 10:10 ",2025-07-25,-2,False,,"intraday, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"'Sholay days of IT are over': CP Gurnani says TCS layoffs show focus towards outcome, not headcount CP Gurnani, IT industry veteran and former CEO of Tech Mahindra, said layoffs at TCS imply that the ",2025-07-28,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,Tata Consultancy Services shares rise over 0.5% in Wednesday's session Shares of Tata Consultancy Services experienced a gain of 0.51% during Wednesday's trading session. This increase reflects a chan,2025-07-23,-1,False,,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares decline 1.03% in Monday's trading session Shares of Tata Consultancy Services (TCS) fell by 1.03% to Rs 3,103.40 in Monday's session. The stock's movement reflects a d",2025-07-28,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Trent, BEL to join 30-share Sensex today, Nestle India, IndusInd Bank excluded Shares of retail giant Trent Ltd. and PSU firm Bharat Electronics Ltd. (BEL) will  added to the 30-pack benchmark index S",2025-06-20,-1,False,inclusion,"intraday, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tech Mahindra, Infosys, other IT stocks tumble on concerns over US' fiscal deficit The shares of IT companies tumbled on May 22, tracking Wall Street peers over concerns of possible widening of US' fe",2025-05-22,-2,False,,"nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex drops 850 pts, Nifty below 22,600, hits 8-month low on US growth concerns; Nifty IT sinks nearly 3% Sensex and Nifty extended their losing streak to a fifth straight session, plunging to an eig",2025-02-24,-4,False,green energy,"target price, intraday, resistance, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall 0.47% in today's session; over 3.3 lakh shares traded Shares of Tata Consultancy Services were trading at Rs 3,022.40 on the NSE, a decrease of 0.47% from the pre",2025-08-01,-1,False,,trading volume,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,IT stocks drop up to 1.5% ahead of TCS Q1 results tomorrow The shares of IT companies declined in trade on July 9 as investors actively awaited the release of the first set to Q1 FY26 results from the,2025-07-09,-2,False,environment,"share price, q1 results, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Infosys, TechM, others up 2% as US Fed chief Powell's testimony spurs rate cut bets Shares of IT companies were higher on June 25 as market participants saw US Federal Reserve Chair Jerome Powell's te",2025-06-25,-1,False,labor,"share price, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Coforge, HCL Tech, other IT names rise up to 3% on hopes of early Fed rate cut, Nasdaq rally The Nifty IT index is higher on June 27, tracking Wall Street peers on rising hopes of a US Fed rate cut so",2025-06-27,-1,False,,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares gain 0.26% in early trade Tata Consultancy Services shares are trading at Rs 3,241.40, up 0.26% in Thursday's early session. The stock is showing marginal positive mov",2025-07-17,-1,False,,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,Tata Consultancy Services shares decline 1.17%; stock among top losers on Nifty 50 Shares of Tata Consultancy Services were among the top losers on the Nifty 50 in Monday's trading session. At 10:10 a,2025-07-28,-1,False,,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex surges 300 pts from day's low, Nifty above 25,200: 3 key reasons behind market rise The equity benchmark indices Sensex and Nifty settled marginally higher on Wednesday, rebounding from early l",2025-07-16,-4,False,,"intraday, q1 results, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall 0.61% in today's session; over 5.9 lakh shares traded Tata Consultancy Services shares were trading at Rs 3,232.60 on the NSE, a decline of 0.61% from the previou",2025-07-16,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall marginally in today's session; over 16.1 lakh shares traded Shares of Tata Consultancy Services were trading at Rs 3,165.50 on the NSE, a marginal decline of 0.76",2025-07-21,-1,False,,trading volume,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"TCS to roll out wage hikes after announcing plans to cut 12,000 jobs. Check details Tata Consultancy Services, India’s largest IT services firm, on August 6 announced wage hike for its staff starting ",2025-08-07,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex declines over 200 pts, Nifty below 25,100: Selling in IT stocks among key factors behind market decline The equity benchmarks Sensex and Nifty declined for the fourth straight day on Monday ami",2025-07-14,-3,False,,"intraday, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex soars 450 pts, Nifty above 25,200: Easing inflation, IT buying, other key factors behind market rebound The benchmark equity indices Sensex and Nifty bounced back on Tuesday after four consecut",2025-07-15,-4,False,,"intraday, q1 results, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Chartist Talk: Rahul Ghose sees choppy August for Nifty, expects continued Bank Nifty outperformance Rahul Ghose, founder and chief executive of Octanom Tech and Hedged, expects the choppy trade for t",2025-08-03,-1,False,"environment, safety","resistance, support level, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex crashes over 500 pts, Nifty below 25,000: US strikes on Iran among key factors behind market decline The equity benchmark indices declined sharply on Monday amid rising geopolitical tensions in",2025-06-23,-2,False,,"nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,Trump's tariff scare spooks Dalal Street: Three stocks that bled the most on Sensex The selling pressure on Dalal Street - induced by US President Trump's tariff scare - saw a cut of over 500 points o,2025-02-10,-3,False,,"share price, trading volume, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares trade flat in today's session; over 15.9 lakh shares traded Tata Consultancy Services shares were trading flat in Friday's session, with the stock currently priced at ",2025-08-08,-1,False,,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall marginally in today's session Shares of Tata Consultancy Services were trading at Rs 3,020.20 on Thursday, down by 0.40% from the previous close, at 12:00 pm. The",2025-08-07,-1,False,,nifty,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Coforge, HCL Tech, Wipro, other IT shares jump up to 7% amid hopes of easing trade tensions The shares of IT companies strongly surged on April 23 after US President Donald Trump hinted at slashing ta",2025-04-23,-3,False,,"share price, q4 results, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex falls 200 pts, Nifty below 25,500 amid caution ahead of India-US trade deal, Q1 earnings announcement; metal, IT stocks decline The equity benchmark indices closed lower on Wednesday as investo",2025-07-09,-2,False,,"nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Pharma, IT stocks tumble up to 4% as Trump tariffs take effect The shares of pharma and IT companies tumbled on March 4 as US President Donald Trump's tariffs on Canada and Mexico came into effect, wh",2025-03-04,-1,False,labor,"share price, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex slips over 1,000 pts, Nifty below 24,500: Rising US bond yields among key factors behind market sell-off The benchmark equity indices tumbled over 1 percent on Thursday, tracking a sharp sell-o",2025-05-22,0,False,"sustainability, sustainable","nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services share price trades flat; hits intraday high of Rs 3,059.80 Tata Consultancy Services shares were trading flat in Friday's session, with the stock currently priced at Rs 3,041",2025-08-08,-2,False,,"share price, intraday",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex falls 400 pts, Nifty at 23,200: Trump’s reciprocal tariffs among key factors to rattle markets Benchmark indices Sensex and Nifty slipped in early trade on Thursday, tracking weak global cues a",2025-04-03,-3,False,,"candlestick, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Infosys Q1 preview: 5 key factors to watch for As Infosys gets ready to announce its first quarter results on July 23, investors will be closely tracking signs of a turnaround at India’s second-larges",2025-07-22,0,False,environment,brokerage,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares see moderate fall in Thursday's session Shares of Tata Consultancy Services were trading at Rs 3,020.30 on the NSE, a decline of 0.40% in Thursday's session. The stock",2025-08-07,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex crashes 1,500 pts, Nifty below 23,150: US tariff worries among key factors weighing on markets Equity benchmark indices declined sharply on Tuesday, led by IT and real estate stocks, as concern",2025-04-01,-3,False,,"brokerage, nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Tata Consultancy Services shares fall marginally; over 11.7 lakh shares traded Tata Consultancy Services shares traded at Rs 3,043.10, a marginal decline of 0.13% in Friday's session. A total of 1,174",2025-08-08,-2,False,,"trading volume, nifty",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"April may be the best month for stocks, February the bleakest: Here’s why Wall Street often kicks off the year with a 'January effect' when shares rise more than any other month, but back home, an 'Ap",2025-05-30,0,False,,,Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"TCS, Wipro shares fall up to 4% after Jefferies' IT downgrade citing tariff hit on US growth Top IT shares were among the leading laggards on the benchmark Sensex, with Trump's reciprocal tariffs kick",2025-04-09,-4,False,,"target price, buy call, brokerage, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex, Nifty end flat for 3rd session; heavyweights offset pharma losses; broader market rise up to 2% Sensex and Nifty ended flat for the third session in a row ahead of the FOMC meeting minutes, se",2025-02-19,-2,False,,"nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
TCS,Tata Consultancy Services,"Sensex, Nifty flat ahead of FOMC minutes; mid-, small-cap indices drop up to 2% Sensex and Nifty flattened by midday on February 19 after opening lower, as investors remained cautious about stretched ",2025-02-19,-2,False,,"nifty, sensex",Low ESG relevance or finance-only context,2026-09-03
