Company_Code,Company_Name,Master_ESG_Score,Risk_Level,Score_Explanation,Strengths,Strengths_Count,Weaknesses,Weaknesses_Count,Recommendations,Recommendations_Count,Comparative_Insight,Analysis_Date
TATAELXSI,Tata Elxsi,6.1429875,Medium,"Tata Elxsi has an overall ESG score of 6.14/10, indicating Medium ESG risk. The company performs strongest in Social (10.0/10) and weakest in Governance (4.3/10). Cross-validation consistency is 8.0/10. Detected 1 contradiction(s), highest severity Medium. Data quality confidence is 2.8/10. External benchmark proxy score is 4.3/10. Project vs benchmark rank deviation is 12, suggesting further review. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Low transparency in ESG disclosure | Cross-validation contradictions detected (severity: Medium) | Low data quality confidence for scoring inputs,4,Implement air quality improvement measures at affected locations | Enhance ESG disclosure completeness and third-party verification | Resolve contradiction flags by reconciling BRSR claims with external performance data | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences,5,Ranks #13 out of 50 IT companies analyzed (76th percentile). Performs in line with industry average. Most similar ESG profile to Oracle Financial Services Software (score: 6.11). Project rank is 13 vs benchmark rank 25.,2026-09-03
OFSS,Oracle Financial Services Software,6.114708333333334,Medium,"Oracle Financial Services Software has an overall ESG score of 6.11/10, indicating Medium ESG risk. The company performs strongest in Social (8.0/10) and weakest in Environmental (4.0/10). Cross-validation consistency is 10.0/10. Data quality confidence is 4.4/10. External benchmark proxy score is 4.8/10. Project vs benchmark rank deviation is 3, suggesting further review. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Inadequate board independence (30%) | Low data quality confidence for scoring inputs,3,Implement air quality improvement measures at affected locations | Appoint more independent directors to strengthen board governance | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Focus on continuous improvement in identified weak areas,5,Ranks #14 out of 50 IT companies analyzed (74th percentile). Performs in line with industry average. Most similar ESG profile to Tata Elxsi (score: 6.14). Project rank is 14 vs benchmark rank 11.,2026-09-03
KPITTECH,KPIT Technologies,,High,"KPIT Technologies has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 1.9/10. External benchmark proxy score is 4.0/10. Project vs benchmark rank deviation is 13, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,3,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #25 out of 50 IT companies analyzed (52th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 25 vs benchmark rank 38.,2026-09-03
CYIENT,Cyient,,High,"Cyient has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 0.0/10. External benchmark proxy score is 3.3/10. Project vs benchmark rank deviation is 17, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,3,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #26 out of 50 IT companies analyzed (50th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 26 vs benchmark rank 43.,2026-09-03
BSOFT,Birlasoft,,High,"Birlasoft has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 5.3/10. External benchmark proxy score is 5.0/10. Project vs benchmark rank deviation is 17, suggesting further review. ",Positive media coverage and reputation,1,Low renewable energy usage (40%),1,Increase investment in renewable energy sources and set ambitious targets | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,3,Ranks #27 out of 50 IT companies analyzed (48th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 27 vs benchmark rank 10.,2026-09-03
ZENSARTECH,Zensar Technologies,,High,"Zensar Technologies has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 4.9/10. External benchmark proxy score is 4.8/10. Project vs benchmark rank deviation is 16, suggesting further review. ",High renewable energy usage (90%) | Strong gender diversity (35% female employees) | Excellent employee training (30 hours per employee) | Positive media coverage and reputation,4,Low data quality confidence for scoring inputs,1,Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,3,Ranks #28 out of 50 IT companies analyzed (46th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 28 vs benchmark rank 12.,2026-09-03
TATATECH,Tata Technologies,,High,"Tata Technologies has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.1/10. External benchmark proxy score is 4.1/10. Project vs benchmark rank deviation is 6, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,2,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #29 out of 50 IT companies analyzed (44th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 29 vs benchmark rank 35.,2026-09-03
HAPPSTMNDS,Happiest Minds Technologies,6.316322500000001,Medium,"Happiest Minds Technologies has an overall ESG score of 6.32/10, indicating Medium ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (3.1/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.7/10. External benchmark proxy score is 4.5/10. Project vs benchmark rank deviation is 11, suggesting further review. ",Positive media coverage and reputation,1,Low renewable energy usage (12%) | Poor air quality at some office locations | Low data quality confidence for scoring inputs,3,Increase investment in renewable energy sources and set ambitious targets | Implement air quality improvement measures at affected locations | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Focus on continuous improvement in identified weak areas,5,Ranks #11 out of 50 IT companies analyzed (80th percentile). Performs in line with industry average. Most similar ESG profile to Redington (score: 6.32). Project rank is 11 vs benchmark rank 22.,2026-09-03
SONATSOFTW,Sonata Software,7.481750000000001,Low-Medium,"Sonata Software has an overall ESG score of 7.48/10, indicating Low-Medium ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (4.0/10). Cross-validation consistency is 10.0/10. Data quality confidence is 5.0/10. External benchmark proxy score is 5.0/10. Project vs benchmark rank deviation is 8, suggesting further review. ",Positive media coverage and reputation | Strong board independence (100%),2,Poor air quality at some office locations | Low data quality confidence for scoring inputs,2,Implement air quality improvement measures at affected locations | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Focus on continuous improvement in identified weak areas,4,Ranks #1 out of 50 IT companies analyzed (100th percentile). Performs 1.3 points above industry average. Most similar ESG profile to Nazara Technologies (score: 6.99). Project rank is 1 vs benchmark rank 9.,2026-09-03
HEXAWARE,Hexaware Technologies,,High,"Hexaware Technologies has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 1.6/10. External benchmark proxy score is 4.0/10. Project vs benchmark rank deviation is 9, suggesting further review. ",High renewable energy usage (83%) | Positive media coverage and reputation,2,Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,2,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #30 out of 50 IT companies analyzed (42th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 30 vs benchmark rank 39.,2026-09-03
MINDTREE,Mindtree (legacy symbol),,High,"Mindtree (legacy symbol) has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 2.5/10. External benchmark proxy score is 4.2/10. Project vs benchmark rank deviation is 2, suggesting further review. ",Positive media coverage and reputation,1,Limited gender diversity (14% female employees) | Insufficient employee training (4 hours per employee) | Inadequate board independence (7%) | Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,5,Enhance diversity hiring programs and create inclusive workplace policies | Expand employee training and development programs | Appoint more independent directors to strengthen board governance | Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions,5,Ranks #31 out of 50 IT companies analyzed (40th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 31 vs benchmark rank 33.,2026-09-03
NEWGEN,Newgen Software Technologies,,High,"Newgen Software Technologies has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.7/10. External benchmark proxy score is 4.5/10. Project vs benchmark rank deviation is 12, suggesting further review. ",Positive media coverage and reputation,1,Low data quality confidence for scoring inputs,1,Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,3,Ranks #32 out of 50 IT companies analyzed (38th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 32 vs benchmark rank 20.,2026-09-03
TANLA,Tanla Platforms,,High,"Tanla Platforms has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 2.2/10. External benchmark proxy score is 4.2/10. Project vs benchmark rank deviation is 5, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,2,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #33 out of 50 IT companies analyzed (36th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 33 vs benchmark rank 28.,2026-09-03
INTELLECT,Intellect Design Arena,4.97625,High,"Intellect Design Arena has an overall ESG score of 4.98/10, indicating High ESG risk. The company performs strongest in Social (10.0/10) and weakest in Governance (1.5/10). Cross-validation consistency is 10.0/10. Data quality confidence is 0.0/10. External benchmark proxy score is 3.0/10. Project vs benchmark rank deviation is 27, suggesting further review. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,4,Implement air quality improvement measures at affected locations | Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Conduct comprehensive ESG audit and develop improvement roadmap,5,Ranks #20 out of 50 IT companies analyzed (62th percentile). Performs 1.2 points below industry average. Most similar ESG profile to Datamatics Global Services (score: 4.98). Project rank is 20 vs benchmark rank 47.,2026-09-03
ROUTE,Route Mobile,6.188380952380952,Medium,"Route Mobile has an overall ESG score of 6.19/10, indicating Medium ESG risk. The company performs strongest in Social (9.3/10) and weakest in Environmental (4.0/10). Cross-validation consistency is 10.0/10. Data quality confidence is 2.8/10. External benchmark proxy score is 4.1/10. Project vs benchmark rank deviation is 22, suggesting further review. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,3,Implement air quality improvement measures at affected locations | Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Focus on continuous improvement in identified weak areas,5,Ranks #12 out of 50 IT companies analyzed (78th percentile). Performs in line with industry average. Most similar ESG profile to Tata Elxsi (score: 6.14). Project rank is 12 vs benchmark rank 34.,2026-09-03
RATEGAIN,RateGain Travel Technologies,,High,"RateGain Travel Technologies has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 0.0/10. External benchmark proxy score is 3.3/10. Project vs benchmark rank deviation is 10, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,3,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #34 out of 50 IT companies analyzed (34th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 34 vs benchmark rank 44.,2026-09-03
ECLERX,eClerx Services,6.70825,Medium,"eClerx Services has an overall ESG score of 6.71/10, indicating Medium ESG risk. The company performs strongest in Social (10.0/10) and weakest in Environmental (4.8/10). Cross-validation consistency is 8.0/10. Detected 1 contradiction(s), highest severity Medium. Data quality confidence is 4.6/10. External benchmark proxy score is 4.8/10. Project vs benchmark rank deviation is 6, suggesting further review. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Cross-validation contradictions detected (severity: Medium) | Low data quality confidence for scoring inputs,3,Implement air quality improvement measures at affected locations | Resolve contradiction flags by reconciling BRSR claims with external performance data | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Focus on continuous improvement in identified weak areas,5,Ranks #7 out of 50 IT companies analyzed (88th percentile). Performs 0.5 points above industry average. Most similar ESG profile to Wipro (score: 6.67). Project rank is 7 vs benchmark rank 13.,2026-09-03
DATAMATICS,Datamatics Global Services,4.97625,High,"Datamatics Global Services has an overall ESG score of 4.98/10, indicating High ESG risk. The company performs strongest in Social (10.0/10) and weakest in Governance (1.5/10). Cross-validation consistency is 10.0/10. Data quality confidence is 0.0/10. External benchmark proxy score is 3.0/10. Project vs benchmark rank deviation is 27, suggesting further review. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,4,Implement air quality improvement measures at affected locations | Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Conduct comprehensive ESG audit and develop improvement roadmap,5,Ranks #22 out of 50 IT companies analyzed (58th percentile). Performs 1.2 points below industry average. Most similar ESG profile to Intellect Design Arena (score: 4.98). Project rank is 22 vs benchmark rank 49.,2026-09-03
MASTEK,Mastek,4.97625,High,"Mastek has an overall ESG score of 4.98/10, indicating High ESG risk. The company performs strongest in Social (10.0/10) and weakest in Governance (1.5/10). Cross-validation consistency is 10.0/10. Data quality confidence is 0.0/10. External benchmark proxy score is 3.0/10. Project vs benchmark rank deviation is 25, suggesting further review. ",Positive media coverage and reputation,1,Poor air quality at some office locations | Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,4,Implement air quality improvement measures at affected locations | Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Conduct comprehensive ESG audit and develop improvement roadmap,5,Ranks #21 out of 50 IT companies analyzed (60th percentile). Performs 1.2 points below industry average. Most similar ESG profile to Intellect Design Arena (score: 4.98). Project rank is 21 vs benchmark rank 46.,2026-09-03
SONACOMS,Sona BLW Precision Forgings,,High,"Sona BLW Precision Forgings has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 3.8/10. External benchmark proxy score is 4.7/10. Project vs benchmark rank deviation is 19, suggesting further review. ",Positive media coverage and reputation,1,Low renewable energy usage (4%) | Low data quality confidence for scoring inputs,2,Increase investment in renewable energy sources and set ambitious targets | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #35 out of 50 IT companies analyzed (32th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 35 vs benchmark rank 16.,2026-09-03
HGS,Hinduja Global Solutions,,High,"Hinduja Global Solutions has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 1.3/10. External benchmark proxy score is 3.8/10. Project vs benchmark rank deviation is 4, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Low data quality confidence for scoring inputs,2,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #36 out of 50 IT companies analyzed (30th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 36 vs benchmark rank 40.,2026-09-03
NIITLTD,NIIT,,High,"NIIT has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 0.0/10. External benchmark proxy score is 3.0/10. Project vs benchmark rank deviation is 11, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,3,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #37 out of 50 IT companies analyzed (28th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 37 vs benchmark rank 48.,2026-09-03
E2E,E2E Networks,,High,"E2E Networks has an overall ESG score of nan/10, indicating High ESG risk. The company performs strongest in Environmental (nan/10) and weakest in Environmental (nan/10). Cross-validation consistency is 10.0/10. Data quality confidence is 0.0/10. External benchmark proxy score is 3.0/10. Project vs benchmark rank deviation is 7, suggesting further review. ",Positive media coverage and reputation,1,Low transparency in ESG disclosure | Potential greenwashing concerns | Low data quality confidence for scoring inputs,3,Enhance ESG disclosure completeness and third-party verification | Improve data completeness and resolve review-flagged metrics before final decisions | Investigate benchmark rank deviation and document reasons for score differences | Maintain current ESG excellence and share best practices,4,Ranks #38 out of 50 IT companies analyzed (26th percentile). Performs in line with industry average. Most similar ESG profile to Tata Consultancy Services (score: 6.93). Project rank is 38 vs benchmark rank 45.,2026-09-03
